Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey",modified_qual
Aerospace Engineering,College of Engineering,0.779,3840,3675,3350,4435,NTU,2016,No,NTU GES 2016,Aerospace Engineering | NTU 2016,Aerospace Engineering
Aerospace Engineering & Economics,College of Engineering,0,0,0,0,0,NTU,2016,Suppressed,NTU GES 2016,Aerospace Engineering & Economics | NTU 2016,Aerospace Engineering & Economics
Bioengineering,College of Engineering,0.639,3317,3237,3000,3510,NTU,2016,No,NTU GES 2016,Bioengineering | NTU 2016,Bioengineering
Business & Computer Engineering,College of Engineering,0,0,0,0,0,NTU,2016,Suppressed,NTU GES 2016,Business & Computer Engineering | NTU 2016,Business & Computer Engineering
Business & Computing,College of Engineering,0.944,4407,4600,3800,5000,NTU,2016,No,NTU GES 2016,Business & Computing | NTU 2016,Business & Computing
Chemical & Biomolecular Engineering,College of Engineering,0.726,3476,3400,3200,3800,NTU,2016,No,NTU GES 2016,Chemical & Biomolecular Engineering | NTU 2016,Chemical & Biomolecular Engineering
Civil Engineering,College of Engineering,0.916,3505,3300,3200,3800,NTU,2016,No,NTU GES 2016,Civil Engineering | NTU 2016,Civil Engineering
Computer Engineering,College of Engineering,0.759,3833,3500,3300,4420,NTU,2016,No,NTU GES 2016,Computer Engineering | NTU 2016,Computer Engineering
Computer Science,College of Engineering,0.914,3848,3500,3300,4333,NTU,2016,No,NTU GES 2016,Computer Science | NTU 2016,Computer Science
Electrical & Electronic Engineering,College of Engineering,0.836,3517,3400,3190,3800,NTU,2016,No,NTU GES 2016,Electrical & Electronic Engineering | NTU 2016,Electrical & Electronic Engineering
Environmental Engineering,College of Engineering,0.742,3216,3100,2800,3400,NTU,2016,No,NTU GES 2016,Environmental Engineering | NTU 2016,Environmental Engineering
Information Engineering & Media,College of Engineering,0.875,3570,3350,3000,4000,NTU,2016,No,NTU GES 2016,Information Engineering & Media | NTU 2016,Information Engineering & Media
Maritime Studies,College of Engineering,0.885,3328,3398,3083,3500,NTU,2016,No,NTU GES 2016,Maritime Studies | NTU 2016,Maritime Studies
Materials Engineering,College of Engineering,0.735,3317,3300,3000,3500,NTU,2016,No,NTU GES 2016,Materials Engineering | NTU 2016,Materials Engineering
Materials Engineering & Economics,College of Engineering,0,0,0,0,0,NTU,2016,Suppressed,NTU GES 2016,Materials Engineering & Economics | NTU 2016,Materials Engineering & Economics
Mechanical Engineering,College of Engineering,0.799,3505,3350,3050,3959,NTU,2016,No,NTU GES 2016,Mechanical Engineering | NTU 2016,Mechanical Engineering
Mechanical Engineering & Economics,College of Engineering,0,0,0,0,0,NTU,2016,Suppressed,NTU GES 2016,Mechanical Engineering & Economics | NTU 2016,Mechanical Engineering & Economics
"Art, Design & Media","College of Humanities, Arts, & Social Sciences",0.466,2761,2700,2500,3000,NTU,2016,No,NTU GES 2016,"Art, Design & Media | NTU 2016","Art, Design & Media"
Chinese,"College of Humanities, Arts, & Social Sciences",0.747,3345,3300,3050,3500,NTU,2016,No,NTU GES 2016,Chinese | NTU 2016,Chinese
Communication Studies,"College of Humanities, Arts, & Social Sciences",0.696,2996,3000,2575,3365,NTU,2016,No,NTU GES 2016,Communication Studies | NTU 2016,Communication Studies
Economics,"College of Humanities, Arts, & Social Sciences",0.793,3440,3300,3000,3850,NTU,2016,No,NTU GES 2016,Economics | NTU 2016,Economics
English,"College of Humanities, Arts, & Social Sciences",0.542,2997,3000,2700,3400,NTU,2016,No,NTU GES 2016,English | NTU 2016,English
History,"College of Humanities, Arts, & Social Sciences",0.766,3082,3000,2700,3500,NTU,2016,No,NTU GES 2016,History | NTU 2016,History
Linguistics & Multilingual Studies,"College of Humanities, Arts, & Social Sciences",0.618,3368,3365,2960,3500,NTU,2016,No,NTU GES 2016,Linguistics & Multilingual Studies | NTU 2016,Linguistics & Multilingual Studies
Psychology,"College of Humanities, Arts, & Social Sciences",0.667,3136,3200,2800,3500,NTU,2016,No,NTU GES 2016,Psychology | NTU 2016,Psychology
Public Policy & Global Affairs,"College of Humanities, Arts, & Social Sciences",0,0,0,0,0,NTU,2016,Suppressed,NTU GES 2016,Public Policy & Global Affairs | NTU 2016,Public Policy & Global Affairs
Sociology,"College of Humanities, Arts, & Social Sciences",0.639,3480,3500,3000,3850,NTU,2016,No,NTU GES 2016,Sociology | NTU 2016,Sociology
Biomedical Sciences & Chinese Medicine,College of Science,0.889,2577,2500,2150,2800,NTU,2016,No,NTU GES 2016,Biomedical Sciences & Chinese Medicine | NTU 2016,Biomedical Sciences & Chinese Medicine
Biological Sciences,College of Science,0.64,3222,3175,3000,3550,NTU,2016,No,NTU GES 2016,Biological Sciences | NTU 2016,Biological Sciences
Chemistry & Biological Chemistry,College of Science,0.642,3234,3149,2925,3500,NTU,2016,No,NTU GES 2016,Chemistry & Biological Chemistry | NTU 2016,Chemistry & Biological Chemistry
Mathematical Sciences,College of Science,0.769,3535,3500,3200,3750,NTU,2016,No,NTU GES 2016,Mathematical Sciences | NTU 2016,Mathematical Sciences
Mathematics & Economics,College of Science,0.727,3458,3300,3000,3750,NTU,2016,No,NTU GES 2016,Mathematics & Economics | NTU 2016,Mathematics & Economics
Physics & Applied Physics,College of Science,0.771,3683,3450,3100,4000,NTU,2016,No,NTU GES 2016,Physics & Applied Physics | NTU 2016,Physics & Applied Physics
Sports Science & Management,Sports Science & Management,0.661,3272,3200,2825,3500,NTU,2016,No,NTU GES 2016,Sports Science & Management | NTU 2016,Sports Science & Management
Arts (with Education),National Institute of Education (NIE),1,3525,3525,3400,3615,NTU,2016,No,NTU GES 2016,Arts (with Education) | NTU 2016,Arts (with Education)
Science (with Education),National Institute of Education (NIE),1,3546,3525,3500,3850,NTU,2016,No,NTU GES 2016,Science (with Education) | NTU 2016,Science (with Education)
Bachelor of Arts,Faculty of Arts & Social Sciences,0.625,3063,3000,2600,3200,NUS,2016,No,NUS GES 2016,Bachelor of Arts | NUS 2016,Arts
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.741,3321,3500,3000,3600,NUS,2016,No,NUS GES 2016,Bachelor of Arts (Hons) | NUS 2016,Arts
Bachelor of Social Sciences,Faculty of Arts & Social Sciences,0.733,3423,3300,3000,3650,NUS,2016,No,NUS GES 2016,Bachelor of Social Sciences | NUS 2016,Social Sciences
Bachelor of Dental Surgery,Faculty of Dentistry,1,4221,4050,4050,4450,NUS,2016,No,NUS GES 2016,Bachelor of Dental Surgery | NUS 2016,Dental Surgery
Bachelor of Engineering (Biomedical Engineering),Faculty of Engineering,0.806,3366,3200,3000,3500,NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Biomedical Engineering) | NUS 2016,Biomedical Engineering
Bachelor of Engineering (Chemical Engineering),Faculty of Engineering,0.803,3562,3450,3150,4000,NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Chemical Engineering) | NUS 2016,Chemical Engineering
Bachelor of Engineering (Civil Engineering),Faculty of Engineering,0.919,3509,3420,3200,3800,NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Civil Engineering) | NUS 2016,Civil Engineering
Bachelor of Engineering (Computer Engineering),Faculty of Engineering,0.859,3942,3900,3467,4500,NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Computer Engineering) | NUS 2016,Computer Engineering
Bachelor of Engineering (Electrical Engineering),Faculty of Engineering,0.876,3765,3500,3200,4200,NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Electrical Engineering) | NUS 2016,Electrical Engineering
Bachelor of Engineering (Engineering Science),Faculty of Engineering,0.741,3707,3740,3350,4026,NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Engineering Science) | NUS 2016,Engineering Science
Bachelor of Engineering (Environmental Engineering),Faculty of Engineering,0.655,3470,3350,3000,3832,NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Environmental Engineering) | NUS 2016,Environmental Engineering
Bachelor of Engineering (Industrial & Systems Engineering),Faculty of Engineering,0.789,3879,3500,3300,4250,NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2016,Industrial & Systems Engineering
Bachelor of Engineering (Materials Science & Engineering),Faculty of Engineering,0.784,3501,3540,3200,3900,NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Materials Science & Engineering) | NUS 2016,Materials Science & Engineering
Bachelor of Engineering (Mechanical Engineering),Faculty of Engineering,0.81,3560,3400,3150,3800,NUS,2016,No,NUS GES 2016,Bachelor of Engineering (Mechanical Engineering) | NUS 2016,Mechanical Engineering
Bachelor of Laws,Faculty of Law,0.959,4898,4900,4200,5600,NUS,2016,No,NUS GES 2016,Bachelor of Laws | NUS 2016,Laws
Bachelor of Applied Science,Faculty of Science,0,0,0,0,0,NUS,2016,Suppressed,NUS GES 2016,Bachelor of Applied Science | NUS 2016,Applied Science
Bachelor of Applied Science (Hons),Faculty of Science,0.619,3058,3130,2800,3350,NUS,2016,No,NUS GES 2016,Bachelor of Applied Science (Hons) | NUS 2016,Applied Science (Hons)
Bachelor of Science,Faculty of Science,0.594,2995,3000,2600,3225,NUS,2016,No,NUS GES 2016,Bachelor of Science | NUS 2016,Science
Bachelor of Science (Hons),Faculty of Science,0.717,3386,3300,3000,3650,NUS,2016,No,NUS GES 2016,Bachelor of Science (Hons) | NUS 2016,Science
Bachelor of Science (Computational Biology),Faculty of Science,0,0,0,0,0,NUS,2016,Suppressed,NUS GES 2016,Bachelor of Science (Computational Biology) | NUS 2016,Computational Biology
Bachelor of Science (Pharmacy) (Hons),Faculty of Science,0.972,3597,3600,3300,3950,NUS,2016,No,NUS GES 2016,Bachelor of Science (Pharmacy) (Hons) | NUS 2016,Pharmacy (Hons)
Bachelor of Business Administration,NUS Business School,0.807,3282,3000,2837,3500,NUS,2016,No,NUS GES 2016,Bachelor of Business Administration | NUS 2016,Administration
Bachelor of Business Administration (Hons),NUS Business School,0.928,4207,3620,3258,4500,NUS,2016,No,NUS GES 2016,Bachelor of Business Administration (Hons) | NUS 2016,Administration (Hons)
Bachelor of Business Administration (Accountancy),NUS Business School,0.864,3020,2963,2800,3100,NUS,2016,No,NUS GES 2016,Bachelor of Business Administration (Accountancy) | NUS 2016,Administration (Accountancy)
Bachelor of Business Administration (Accountancy) (Hons),NUS Business School,0.99,3465,3075,2900,3800,NUS,2016,No,NUS GES 2016,Bachelor of Business Administration (Accountancy) (Hons) | NUS 2016,Administration (Accountancy) (Hons)
Bachelor of Computing (Communications & Media),School of Computing,0,0,0,0,0,NUS,2016,Suppressed,NUS GES 2016,Bachelor of Computing (Communications & Media) | NUS 2016,Communications & Media
Bachelor of Computing (Computer Science),School of Computing,0.933,4385,4000,3500,5000,NUS,2016,No,NUS GES 2016,Bachelor of Computing (Computer Science) | NUS 2016,Computer Science
Bachelor of Computing (Electronic Commerce),School of Computing,0,0,0,0,0,NUS,2016,Suppressed,NUS GES 2016,Bachelor of Computing (Electronic Commerce) | NUS 2016,Electronic Commerce
Bachelor of Computing (Information Systems),School of Computing,0.94,3969,4000,3365,4500,NUS,2016,No,NUS GES 2016,Bachelor of Computing (Information Systems) | NUS 2016,Information Systems
Bachelor of Arts (Architecture),School of Design & Environment,0.898,3960,4000,3500,4250,NUS,2016,No,NUS GES 2016,Bachelor of Arts (Architecture) | NUS 2016,Architecture
Bachelor of Arts (Industrial Design),School of Design & Environment,0.656,3320,3000,2900,4000,NUS,2016,No,NUS GES 2016,Bachelor of Arts (Industrial Design) | NUS 2016,Industrial Design
Bachelor of Science (Project & Facilities Management),School of Design & Environment,0.847,3113,3000,2850,3276,NUS,2016,No,NUS GES 2016,Bachelor of Science (Project & Facilities Management) | NUS 2016,Project & Facilities Management
Bachelor of Science (Real Estate),School of Design & Environment,0.924,3368,3200,2950,3735,NUS,2016,No,NUS GES 2016,Bachelor of Science (Real Estate) | NUS 2016,Real Estate
Bachelor of Medicine & Bachelor of Surgery (MBBS),Yong Loo Lin School of Medicine,0.994,4887,5000,4500,5200,NUS,2016,No,NUS GES 2016,Bachelor of Medicine & Bachelor of Surgery (MBBS) | NUS 2016,Medicine & Bachelor of Surgery (MBBS)
Bachelor of Science (Nursing),Yong Loo Lin School of Medicine,0.909,3363,3400,3200,3425,NUS,2016,No,NUS GES 2016,Bachelor of Science (Nursing) | NUS 2016,Nursing
Bachelor of Science (Nursing) (Hons),Yong Loo Lin School of Medicine,0.951,3529,3500,3400,3600,NUS,2016,No,NUS GES 2016,Bachelor of Science (Nursing) (Hons) | NUS 2016,Nursing (Hons)
Bachelor of Music,Yong Siew Toh Conservatory of Music,0.143,3250,3250,2999,3500,NUS,2016,No,NUS GES 2016,Bachelor of Music | NUS 2016,Music
Bachelor of Environmental Studies,Multidisciplinary Programme,0.676,3399,3300,3000,3500,NUS,2016,No,NUS GES 2016,Bachelor of Environmental Studies | NUS 2016,Environmental Studies
Bachelor of Arts in Game Design,DigiPen Institute of Technology,0,0,0,0,0,SIT,2015,Suppressed,SIT GES 2015,Bachelor of Arts in Game Design | SIT 2015,Game Design
Bachelor of Fine Arts in Digital Arts & Animation,DigiPen Institute of Technology,0.654,2682,2700,2500,2800,SIT,2015,No,SIT GES 2015,Bachelor of Fine Arts in Digital Arts & Animation | SIT 2015,Fine Arts in Digital Arts & Animation
Bachelor of Science in Computer Science & Game Design,DigiPen Institute of Technology,0,0,0,0,0,SIT,2015,Suppressed,SIT GES 2015,Bachelor of Science in Computer Science & Game Design | SIT 2015,Computer Science & Game Design
Bachelor of Science in Computer Science in Real-Time Interactive Simulation,DigiPen Institute of Technology,0.905,3346,3233,3000,3500,SIT,2015,No,SIT GES 2015,Bachelor of Science in Computer Science in Real-Time Interactive Simulation | SIT 2015,Computer Science in Real-Time Interactive Simulation
Bachelor of Arts with Honours in Communication Design,The Glasgow School of Art,0.543,2922,2750,2523,2975,SIT,2015,No,SIT GES 2015,Bachelor of Arts with Honours in Communication Design | SIT 2015,in Communication Design with Honours
Bachelor of Arts with Honours in Interior Design,The Glasgow School of Art,0.719,2893,2700,2500,3025,SIT,2015,No,SIT GES 2015,Bachelor of Arts with Honours in Interior Design | SIT 2015,in Interior Design with Honours
Bachelor of Engineering with Honours in Chemical Engineering,Newcastle University,0.726,3405,3250,2900,3750,SIT,2015,No,SIT GES 2015,Bachelor of Engineering with Honours in Chemical Engineering | SIT 2015,in Chemical Engineering with Honours
Bachelor of Engineering with Honours in Electrical Power Engineering,Newcastle University,0.774,3452,3300,3000,3550,SIT,2015,No,SIT GES 2015,Bachelor of Engineering with Honours in Electrical Power Engineering | SIT 2015,in Electrical Power Engineering with Honours
Bachelor of Engineering with Honours in Marine Engineering,Newcastle University,0.917,3354,3225,3050,3500,SIT,2015,No,SIT GES 2015,Bachelor of Engineering with Honours in Marine Engineering | SIT 2015,in Marine Engineering with Honours
Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,Newcastle University,0.833,3266,3200,3000,3500,SIT,2015,No,SIT GES 2015,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering | SIT 2015,in Mechanical Design & Manufacturing Engineering with Honours
Bachelor of Engineering with Honours in Naval Architecture,Newcastle University,1,3266,3141,2900,3500,SIT,2015,No,SIT GES 2015,Bachelor of Engineering with Honours in Naval Architecture | SIT 2015,in Naval Architecture with Honours
Bachelor of Engineering with Honours in Offshore Engineering,Newcastle University,0.947,3469,3350,3238,3575,SIT,2015,No,SIT GES 2015,Bachelor of Engineering with Honours in Offshore Engineering | SIT 2015,in Offshore Engineering with Honours
Bachelor of Science with Honours in Food & Human Nutrition,Newcastle University,0.811,2876,2700,2475,3050,SIT,2015,No,SIT GES 2015,Bachelor of Science with Honours in Food & Human Nutrition | SIT 2015,in Food & Human Nutrition with Honours
Bachelor of Science in Chemical Engineering,Technische Universität München,0.792,2970,2950,2800,3200,SIT,2015,No,SIT GES 2015,Bachelor of Science in Chemical Engineering | SIT 2015,Chemical Engineering
Bachelor of Science in Electrical Engineering & Information Technology,Technische Universität München,0.9,3339,3250,3000,3488,SIT,2015,No,SIT GES 2015,Bachelor of Science in Electrical Engineering & Information Technology | SIT 2015,Electrical Engineering & Information Technology
